power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,sample_id,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,cooling_h_sampled_W_per_m2K,insertion_sampled_mm,overheat
30.0,30.0,2.0,4.0,1415.5060819074602,0.36224641162058463,281,106,0.05,0.2,2.0,1.0,True,0.0,63.91140561596558,standard_30W_30s,0,1500.0,0.5,1415.5060819074602,0.36224641162058463,False
30.0,30.0,2.0,4.0,1876.8462860871773,0.4575884291761952,281,106,0.05,0.2,2.0,1.0,True,0.0,63.13056681322783,standard_30W_30s,1,1500.0,0.5,1876.8462860871773,0.4575884291761952,False
30.0,30.0,2.0,4.0,1691.4201345282745,0.7376104826441713,281,106,0.05,0.2,2.0,1.0,True,0.0,65.89433575605058,standard_30W_30s,2,1500.0,0.5,1691.4201345282745,0.7376104826441713,False
30.0,30.0,2.0,4.0,1466.4088603061782,0.6551839185980369,281,106,0.05,0.2,2.0,1.0,True,0.0,66.0810502718835,standard_30W_30s,3,1500.0,0.5,1466.4088603061782,0.6551839185980369,False
30.0,30.0,2.0,4.0,1519.120977919061,0.43518262028284177,281,106,0.05,0.2,2.0,1.0,True,0.0,64.07007590030724,standard_30W_30s,4,1500.0,0.5,1519.120977919061,0.43518262028284177,False
30.0,30.0,2.0,4.0,1326.268251461318,0.5440219227357215,281,106,0.05,0.2,2.0,1.0,True,0.0,65.80156828727578,standard_30W_30s,5,1500.0,0.5,1326.268251461318,0.5440219227357215,False
30.0,30.0,2.0,4.0,1164.146205736377,0.5707921277848368,281,106,0.05,0.2,2.0,1.0,True,0.0,66.95359900471477,standard_30W_30s,6,1500.0,0.5,1164.146205736377,0.5707921277848368,False
30.0,30.0,2.0,4.0,1646.2037428955027,0.25,281,106,0.05,0.2,2.0,1.0,True,0.0,62.263143365446886,standard_30W_30s,7,1500.0,0.5,1646.2037428955027,0.25,False
50.0,10.0,2.0,4.0,1415.5060819074602,0.36224641162058463,281,106,0.05,0.2,1.6589459881899515,0.8294729940949758,False,0.0,68.30301186730948,hpsd_50W_10s,0,1500.0,0.5,1415.5060819074602,0.36224641162058463,False
50.0,10.0,2.0,4.0,1876.8462860871773,0.4575884291761952,281,106,0.05,0.2,1.6565488107240638,0.8282744053620319,False,0.0,67.47866128285607,hpsd_50W_10s,1,1500.0,0.5,1876.8462860871773,0.4575884291761952,False
50.0,10.0,2.0,4.0,1691.4201345282745,0.7376104826441713,281,106,0.05,0.2,1.8236926261589574,0.9118463130794787,False,0.0,71.32184678863037,hpsd_50W_10s,2,1500.0,0.5,1691.4201345282745,0.7376104826441713,False
50.0,10.0,2.0,4.0,1466.4088603061782,0.6551839185980369,281,106,0.05,0.2,1.8068279544372223,0.9034139772186112,False,0.0,71.4613665806016,hpsd_50W_10s,3,1500.0,0.5,1466.4088603061782,0.6551839185980369,False
50.0,10.0,2.0,4.0,1519.120977919061,0.43518262028284177,281,106,0.05,0.2,1.685940461258098,0.842970230629049,False,0.0,68.58820216253746,hpsd_50W_10s,4,1500.0,0.5,1519.120977919061,0.43518262028284177,False
50.0,10.0,2.0,4.0,1326.268251461318,0.5440219227357215,281,106,0.05,0.2,1.7678207950525453,0.8839103975262727,False,0.0,70.92579360425624,hpsd_50W_10s,5,1500.0,0.5,1326.268251461318,0.5440219227357215,False
50.0,10.0,2.0,4.0,1164.146205736377,0.5707921277848368,281,106,0.05,0.2,1.8048435586302838,0.9024217793151419,False,0.0,72.47345563038684,hpsd_50W_10s,6,1500.0,0.5,1164.146205736377,0.5707921277848368,False
50.0,10.0,2.0,4.0,1646.2037428955027,0.25,281,106,0.05,0.2,1.5610450333809809,0.7805225166904904,False,0.0,66.25919630351389,hpsd_50W_10s,7,1500.0,0.5,1646.2037428955027,0.25,False
90.0,4.0,2.0,4.0,1415.5060819074602,0.36224641162058463,281,106,0.05,0.2,1.203882376349071,0.6019411881745355,False,0.0,77.28880258345936,vhpsd_90W_4s,0,1500.0,0.5,1415.5060819074602,0.36224641162058463,False
90.0,4.0,2.0,4.0,1876.8462860871773,0.4575884291761952,281,106,0.05,0.2,1.21639690157534,0.60819845078767,False,0.0,76.26378708841271,vhpsd_90W_4s,1,1500.0,0.5,1876.8462860871773,0.4575884291761952,False
90.0,4.0,2.0,4.0,1691.4201345282745,0.7376104826441713,281,106,0.05,0.2,1.3429684645156492,0.6714842322578246,False,0.0,82.2192550000844,vhpsd_90W_4s,2,1500.0,0.5,1691.4201345282745,0.7376104826441713,False
90.0,4.0,2.0,4.0,1466.4088603061782,0.6551839185980369,281,106,0.05,0.2,1.3212822957693648,0.6606411478846824,False,0.0,82.24175858455058,vhpsd_90W_4s,3,1500.0,0.5,1466.4088603061782,0.6551839185980369,False
90.0,4.0,2.0,4.0,1519.120977919061,0.43518262028284177,281,106,0.05,0.2,1.2292035963060937,0.6146017981530468,False,0.0,77.86090300519724,vhpsd_90W_4s,4,1500.0,0.5,1519.120977919061,0.43518262028284177,False
90.0,4.0,2.0,4.0,1326.268251461318,0.5440219227357215,281,106,0.05,0.2,1.2877615382649434,0.6438807691324717,False,0.0,81.31082955188627,vhpsd_90W_4s,5,1500.0,0.5,1326.268251461318,0.5440219227357215,False
90.0,4.0,2.0,4.0,1164.146205736377,0.5707921277848368,281,106,0.05,0.2,1.3083016431920285,0.6541508215960142,False,0.0,83.29096946301597,vhpsd_90W_4s,6,1500.0,0.5,1164.146205736377,0.5707921277848368,False
90.0,4.0,2.0,4.0,1646.2037428955027,0.25,281,106,0.05,0.2,1.133632960565885,0.5668164802829425,False,0.0,73.93384051663371,vhpsd_90W_4s,7,1500.0,0.5,1646.2037428955027,0.25,False
30.0,30.0,2.0,4.0,1766.8088610198142,0.9301978976700023,281,106,0.05,0.2,2.0,1.0,True,0.0,67.27069303392321,standard_30W_30s,0,1500.0,1.0,1766.8088610198142,0.9301978976700023,False
30.0,30.0,2.0,4.0,1221.6446629530742,1.0740924048584133,281,106,0.05,0.2,2.0,1.0,True,0.0,71.42371723978519,standard_30W_30s,1,1500.0,1.0,1221.6446629530742,1.0740924048584133,False
30.0,30.0,2.0,4.0,1572.2757399726115,0.9766710364752275,281,106,0.05,0.2,2.0,1.0,True,0.0,68.47052976994014,standard_30W_30s,2,1500.0,1.0,1572.2757399726115,0.9766710364752275,False
30.0,30.0,2.0,4.0,1728.9617599867847,1.1845249859671585,281,106,0.05,0.2,2.0,1.0,True,0.0,69.7478133325664,standard_30W_30s,3,1500.0,1.0,1728.9617599867847,1.1845249859671585,False
30.0,30.0,2.0,4.0,1503.5693077153999,0.7776364352165871,281,106,0.05,0.2,2.0,1.0,True,0.0,66.98343084283209,standard_30W_30s,4,1500.0,1.0,1503.5693077153999,0.7776364352165871,False
30.0,30.0,2.0,4.0,1331.1763222797158,1.2568559176609346,281,106,0.05,0.2,2.0,1.0,True,0.0,72.57162047556656,standard_30W_30s,5,1500.0,1.0,1331.1763222797158,1.2568559176609346,False
30.0,30.0,2.0,4.0,1419.3460232985217,1.0334984680481885,281,106,0.05,0.2,2.0,1.0,True,0.0,69.76397720439486,standard_30W_30s,6,1500.0,1.0,1419.3460232985217,1.0334984680481885,False
30.0,30.0,2.0,4.0,1477.5324477815109,0.6905527977091352,281,106,0.05,0.2,2.0,1.0,True,0.0,66.33233686459215,standard_30W_30s,7,1500.0,1.0,1477.5324477815109,0.6905527977091352,False
