power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
90.0,4.0,4.0,4.0,1500.0,2.0,281,141,0.05,0.2,1.6481900695803768,0.4120475173950942,False,0.0367346938775512,100.46594509860766,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,2500.0,0.5,281,141,0.05,0.2,2.200306803367398,0.5500767008418495,False,0.0,59.37307550551267,standard_30W_30s,0
50.0,10.0,4.0,4.0,2500.0,0.5,281,141,0.05,0.2,1.3355333001795515,0.3338833250448879,False,0.0,63.26719712352945,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,2500.0,0.5,281,141,0.05,0.2,0.9863834417989782,0.2465958604497445,False,0.0,70.7604974695656,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,2500.0,1.0,281,141,0.05,0.2,2.607811801749599,0.6519529504373998,False,0.0,62.96791400858173,standard_30W_30s,0
50.0,10.0,4.0,4.0,2500.0,1.0,281,141,0.05,0.2,1.679567667453349,0.4198919168633372,False,0.0,68.30795200849552,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,2500.0,1.0,281,141,0.05,0.2,1.2567716797558757,0.3141929199389689,False,0.0,78.71769188542874,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,2500.0,1.5,281,141,0.05,0.2,2.945431749213932,0.736357937303483,False,0.0,67.16576101193063,standard_30W_30s,0
50.0,10.0,4.0,4.0,2500.0,1.5,281,141,0.05,0.2,1.9375380469156296,0.4843845117289074,False,0.0,74.52538275211103,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,2500.0,1.5,281,141,0.05,0.2,1.459348501219191,0.3648371253047977,False,0.0,87.09577008286085,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,2500.0,2.0,281,141,0.05,0.2,3.243125234480478,0.8107813086201195,False,0.0,72.0474618394054,standard_30W_30s,0
50.0,10.0,4.0,4.0,2500.0,2.0,281,141,0.05,0.2,2.1580179797370427,0.5395044949342607,False,0.0,81.46380320977289,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,2500.0,2.0,281,141,0.05,0.2,1.630935952550526,0.4077339881376315,False,0.0,95.40207775402948,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,800.0,0.5,281,159,0.05,0.2,2.4768566163403745,0.4953713232680748,False,0.0,64.52198437026051,standard_30W_30s,0
50.0,10.0,5.0,4.0,800.0,0.5,281,159,0.05,0.2,1.5206553216698564,0.3041310643339713,False,0.0,69.8816144436382,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,800.0,0.5,281,159,0.05,0.2,1.0767763399227608,0.2153552679845521,False,0.0,79.38883360136742,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,800.0,1.0,281,159,0.05,0.2,2.8241007436457086,0.5648201487291418,False,0.0,69.59558438705601,standard_30W_30s,0
50.0,10.0,5.0,4.0,800.0,1.0,281,159,0.05,0.2,1.787266049328429,0.3574532098656858,False,0.0,77.10325929135836,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,800.0,1.0,281,159,0.05,0.2,1.2900449720464702,0.258008994409294,False,0.0,88.40967030304903,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,800.0,1.5,281,159,0.05,0.2,3.124104789313661,0.6248209578627322,False,0.0,75.59236095694105,standard_30W_30s,0
50.0,10.0,5.0,4.0,800.0,1.5,281,159,0.05,0.2,2.0083981374778785,0.4016796274955757,False,0.0,84.7163945378522,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,800.0,1.5,281,159,0.05,0.2,1.4657685148655395,0.2931537029731079,False,0.0,96.98945824718164,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,800.0,2.0,281,159,0.05,0.2,3.3937216638920904,0.6787443327784181,False,0.0,82.59617437591491,standard_30W_30s,0
50.0,10.0,5.0,4.0,800.0,2.0,281,159,0.05,0.2,2.203369896864924,0.4406739793729847,False,0.0,92.49409239411256,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,800.0,2.0,281,159,0.05,0.2,1.623169018746886,0.3246338037493772,False,0.4247739602170005,104.89373047811536,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,1500.0,0.5,281,159,0.05,0.2,2.2131372558315725,0.4426274511663145,False,0.0,60.40204203411231,standard_30W_30s,0
50.0,10.0,5.0,4.0,1500.0,0.5,281,159,0.05,0.2,1.3550927534813146,0.2710185506962629,False,0.0,64.6180002137762,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,1500.0,0.5,281,159,0.05,0.2,0.9800045384201286,0.1960009076840257,False,0.0,73.05542679721468,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,1500.0,1.0,281,159,0.05,0.2,2.612764737938153,0.5225529475876306,False,0.0,64.48542141580997,standard_30W_30s,0
50.0,10.0,5.0,4.0,1500.0,1.0,281,159,0.05,0.2,1.6786712656059022,0.3357342531211804,False,0.0,70.60639623976218,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,1500.0,1.0,281,159,0.05,0.2,1.2372098068746589,0.2474419613749317,False,0.0,81.4481802353188,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,1500.0,1.5,281,159,0.05,0.2,2.9471362972825856,0.5894272594565171,False,0.0,69.23675106319433,standard_30W_30s,0
50.0,10.0,5.0,4.0,1500.0,1.5,281,159,0.05,0.2,1.928782637978921,0.3857565275957842,False,0.0,77.40111235911317,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,1500.0,1.5,281,159,0.05,0.2,1.432190679751861,0.2864381359503722,False,0.0,89.90427269007677,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,1500.0,2.0,281,159,0.05,0.2,3.242018720311327,0.6484037440622654,False,0.0,74.83532987153752,standard_30W_30s,0
50.0,10.0,5.0,4.0,1500.0,2.0,281,159,0.05,0.2,2.1441968133727136,0.4288393626745427,False,0.0,84.75071413768859,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,1500.0,2.0,281,159,0.05,0.2,1.6005583282626727,0.3201116656525345,False,0.0,98.06747195088332,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,2500.0,0.5,281,159,0.05,0.2,2.000878105898764,0.4001756211797528,False,0.0,58.28772864853962,standard_30W_30s,0
50.0,10.0,5.0,4.0,2500.0,0.5,281,159,0.05,0.2,1.1780887316458053,0.235617746329161,False,0.0,62.01251692009989,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,2500.0,0.5,281,159,0.05,0.2,0.8547557681049287,0.1709511536209857,False,0.0,69.17463646324501,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,2500.0,1.0,281,159,0.05,0.2,2.454427214489172,0.4908854428978344,False,0.0,61.80689366041311,standard_30W_30s,0
50.0,10.0,5.0,4.0,2500.0,1.0,281,159,0.05,0.2,1.583263459908716,0.3166526919817432,False,0.0,66.93709571206914,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,2500.0,1.0,281,159,0.05,0.2,1.1855474342830803,0.237109486856616,False,0.0,76.91037111145391,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,2500.0,1.5,281,159,0.05,0.2,2.815866078086357,0.5631732156172714,False,0.0,65.91390073504981,standard_30W_30s,0
50.0,10.0,5.0,4.0,2500.0,1.5,281,159,0.05,0.2,1.8618867398067425,0.3723773479613484,False,0.0,72.99899140793885,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,2500.0,1.5,281,159,0.05,0.2,1.4023360219375138,0.2804672043875028,False,0.0,85.07067396509719,vhpsd_90W_4s,0
30.0,30.0,5.0,4.0,2500.0,2.0,281,159,0.05,0.2,3.1285260357032354,0.625705207140647,False,0.0,70.6889893398675,standard_30W_30s,0
50.0,10.0,5.0,4.0,2500.0,2.0,281,159,0.05,0.2,2.092800748761628,0.4185601497523256,False,0.0,79.77497638380936,hpsd_50W_10s,0
90.0,4.0,5.0,4.0,2500.0,2.0,281,159,0.05,0.2,1.5816315224698645,0.3163263044939728,False,0.0,93.19659406497502,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,800.0,0.5,281,176,0.05,0.2,2.336013443766345,0.3893355739610575,False,0.0,63.28230237747346,standard_30W_30s,0
50.0,10.0,6.0,4.0,800.0,0.5,281,176,0.05,0.2,1.4271805315059636,0.2378634219176606,False,0.0,68.40925391681499,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,800.0,0.5,281,176,0.05,0.2,1.0037791653301145,0.1672965275550191,False,0.0,77.4929157780521,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,800.0,1.0,281,176,0.05,0.2,2.705738369035388,0.4509563948392314,False,0.0,68.23226451978908,standard_30W_30s,0
50.0,10.0,6.0,4.0,800.0,1.0,281,176,0.05,0.2,1.7125686028081712,0.2854281004680285,False,0.0,75.4391791221511,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,800.0,1.0,281,176,0.05,0.2,1.2332350145379127,0.2055391690896521,False,0.0,86.27812276419672,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,800.0,1.5,281,176,0.05,0.2,3.020467941730129,0.5034113236216883,False,0.0,74.09156841611662,standard_30W_30s,0
50.0,10.0,6.0,4.0,800.0,1.5,281,176,0.05,0.2,1.944607989692502,0.324101331615417,False,0.0,82.86485591401112,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,800.0,1.5,281,176,0.05,0.2,1.4170935940297602,0.2361822656716267,False,0.0,94.66490821598558,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,800.0,2.0,281,176,0.05,0.2,3.300742352977506,0.550123725496251,False,0.0,80.93647994917765,standard_30W_30s,0
50.0,10.0,6.0,4.0,800.0,2.0,281,176,0.05,0.2,2.148172635452,0.3580287725753333,False,0.0,90.47127455851256,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,800.0,2.0,281,176,0.05,0.2,1.580169665736552,0.263361610956092,False,0.2204081632653073,102.42234413924272,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,1500.0,0.5,281,176,0.05,0.2,2.0480466329342377,0.3413411054890396,False,0.0,59.34245057846656,standard_30W_30s,0
50.0,10.0,6.0,4.0,1500.0,0.5,281,176,0.05,0.2,1.2334255156178098,0.2055709192696349,False,0.0,63.37874053376774,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,1500.0,0.5,281,176,0.05,0.2,0.8783436153602265,0.1463906025600377,False,0.0,71.44597272108992,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,1500.0,1.0,281,176,0.05,0.2,2.482716676452273,0.4137861127420454,False,0.0,63.33296361075613,standard_30W_30s,0
50.0,10.0,6.0,4.0,1500.0,1.0,281,176,0.05,0.2,1.594613857929118,0.2657689763215197,False,0.0,69.20864619106729,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,1500.0,1.0,281,176,0.05,0.2,1.173392917468195,0.1955654862446991,False,0.0,79.5995731328247,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,1500.0,1.5,281,176,0.05,0.2,2.836073832647976,0.472678972107996,False,0.0,67.9787202783946,standard_30W_30s,0
50.0,10.0,6.0,4.0,1500.0,1.5,281,176,0.05,0.2,1.8617335188081277,0.3102889198013546,False,0.0,75.83739479658207,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,1500.0,1.5,281,176,0.05,0.2,1.3807242554093833,0.2301207092348972,False,0.0,87.85677839107787,vhpsd_90W_4s,0
30.0,30.0,6.0,4.0,1500.0,2.0,281,176,0.05,0.2,3.143760643774293,0.5239601072957155,False,0.0,73.45463560213213,standard_30W_30s,0
50.0,10.0,6.0,4.0,1500.0,2.0,281,176,0.05,0.2,2.085803801415433,0.3476339669025722,False,0.0,83.01386952902428,hpsd_50W_10s,0
90.0,4.0,6.0,4.0,1500.0,2.0,281,176,0.05,0.2,1.55693942625353,0.2594899043755883,False,0.0,95.84808978509471,vhpsd_90W_4s,0
