power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
50.0,10.0,3.0,4.0,1500.0,1.5,281,123,0.05,0.2,2.079348440193239,3.577934226601622,6.263114754098395,0.5811589337594495,0.6931161467310797,False,0.0,81.0246636104366,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,1500.0,1.5,281,123,0.05,0.2,1.543468093979053,3.4007970357176376,4.599590163934452,0.45385481043662157,0.5144893646596843,False,0.0,94.61752073763118,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,1500.0,2.0,281,123,0.05,0.2,3.0,4.677691296338802,12.47827868852466,0.6413420232216008,1.0,True,0.0,78.04838346828308,standard_30W_30s,1
50.0,10.0,3.0,4.0,1500.0,2.0,281,123,0.05,0.2,2.2757355137926853,3.842914072947555,7.332786885245941,0.5921900595729876,0.7585785045975618,False,0.0,88.7304135313702,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,1500.0,2.0,281,123,0.05,0.2,1.700281817188366,3.569364895286421,5.304098360655767,0.4763541602131233,0.5667606057294553,False,0.243442622950821,103.13126067718798,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,0.5,281,123,0.05,0.2,2.4171578993376803,2.861558094478241,4.946311475409863,0.8446999220466325,0.8057192997792267,False,0.0,60.637538062420646,standard_30W_30s,0
50.0,10.0,3.0,4.0,2500.0,0.5,281,123,0.05,0.2,1.4794658793082434,2.5304288269783433,2.478688524590178,0.5846700225411656,0.4931552931027478,False,0.0,64.70414787167722,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,2500.0,0.5,281,123,0.05,0.2,1.0966764117194119,2.705632788862163,2.1688524590164056,0.4053308402507246,0.3655588039064706,False,0.0,72.54942308806739,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,1.0,281,123,0.05,0.2,2.7847909381756986,3.4577372083618663,7.384426229508237,0.8053795792928456,0.9282636460585661,False,0.0,64.30718736600373,standard_30W_30s,0
50.0,10.0,3.0,4.0,2500.0,1.0,281,123,0.05,0.2,1.7799488884673054,3.0122343695214835,4.053688524590187,0.5909065066374845,0.5933162961557684,False,0.0,69.85509171326274,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,2500.0,1.0,281,123,0.05,0.2,1.3324062666754377,3.0336031437244033,3.2532786885246083,0.43921574561648863,0.4441354222251459,False,0.0,80.74109210789962,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,1.5,281,123,0.05,0.2,3.0,3.941933582520299,9.59754098360661,0.761047830258452,1.0,True,0.0,68.59812306434884,standard_30W_30s,1
50.0,10.0,3.0,4.0,2500.0,1.5,281,123,0.05,0.2,2.0212938704057666,3.3613706375358854,5.41844262295085,0.601330257316555,0.6737646234685889,False,0.0,76.23657149871161,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,2500.0,1.5,281,123,0.05,0.2,1.5200742774605405,3.2712254920721477,4.182786885245926,0.46468037166635495,0.5066914258201801,False,0.0,89.35423374654916,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,2.0,281,123,0.05,0.2,3.0,4.361262298871877,11.202049180327933,0.6878742424586585,1.0,True,0.0,73.59173872072441,standard_30W_30s,1
50.0,10.0,3.0,4.0,2500.0,2.0,281,123,0.05,0.2,2.229718179746653,3.655514322394785,6.694672131147578,0.6099601815500287,0.7432393932488844,False,0.0,83.34759243770029,hpsd_50W_10s,0
